mid,desktop,mobile,pageview,room_1,room_2,room_3,tag_1,tag_2,tag_3,tag_4,tag_5
2724686,1,736,737,supachalasai,korea,tvshow,วอลเลย์บอล,K-POP,นักร้องนักดนตรีเกาหลี,TWICE,JYP Entertainment
1203109,249,3,252,tvshow,isolate,library,บุพเพสันนิวาส,ละครโทรทัศน์,ราณี แคมเปน (เบลล่า),ธนวรรธน์ วรรธนะภูติ (โป๊ป),BEC (ช่อง 3)
1428399,0,1659,1659,family,bangrak,siam,ปัญหาความรัก,สังคมคุณแม่,ประสบการณ์ชีวิตคู่,การเลี้ยงลูก,ความรักวัยรุ่น
352454,163,6,169,sinthorn,blueplanet,tvshow,หุ้น,การลงทุน,บันทึกนักเดินทาง,เที่ยวทะเล,โรงแรมรีสอร์ท
1910545,109,614,723,religious,library,social,ศาสนาพุทธ,ปฏิบัติธรรม,พระไตรปิฎก,มหาสติปัฏฐาน 4,ศาสนา
3339481,522,0,522,rajdumnern,social,silom,การเมือง,การ์ตูนการเมือง,รัฐบาล,นักการเมือง,รัฐศาสตร์
4340607,1501,21,1522,isolate,korea,tvshow,สังคมชาวพันทิป,K-POP,นักร้องนักดนตรีเกาหลี,TWICE,เพลงเกาหลี
3337732,1572,0,1572,isolate,korea,siam,สังคมชาวพันทิป,K-POP,หาเพื่อน,นักร้องนักดนตรีเกาหลี,เพลงเกาหลี
4427540,594,0,594,religious,library,siam,ศาสนาพุทธ,ปฏิบัติธรรม,พระไตรปิฎก,ศาสนา,มหาสติปัฏฐาน 4
4393223,2268,0,2268,isolate,korea,tvshow,สังคมชาวพันทิป,K-POP,นักร้องนักดนตรีเกาหลี,Produce 48 (รายการโทรทัศน์),Mnet (สถานีโทรทัศน์)
670450,489,0,489,sinthorn,bangrak,silom,หุ้น,การลงทุน,Fundamental Analysis,Value Investment,TFEX (Thailand Future Exchange)
739204,597,132,729,isolate,tvshow,silom,สังคมชาวพันทิป,ละครโทรทัศน์,7 HD,one HD (GMM),3 HD (BEC)
3849019,150,302,452,tvshow,supachalasai,beauty,ธนวรรธน์ วรรธนะภูติ (โป๊ป),ละครโทรทัศน์,3 HD (BEC),บุพเพสันนิวาส,BEC (ช่อง 3)
63516,885,4,889,siliconvalley,siam,bangrak,อินเทอร์เน็ต,อิเล็กทรอนิกส์,คอมพิวเตอร์,Network,Printer
668828,95,407,502,supachalasai,tvshow,isolate,ฟุตบอลต่างประเทศ,Premier League (League),สโมสรฟุตบอลอังกฤษ,Liverpool F．C．,ฟุตบอล
4634698,447,0,447,supachalasai,blueplanet,wahkor,ฟุตบอล,ฟุตบอลต่างประเทศ,ฟุตบอลโลก 2018,ฟุตบอลโลก,เที่ยวต่างประเทศ
4596351,0,464,464,isolate,tvshow,korea,สังคมชาวพันทิป,7 HD,ละครโทรทัศน์,3 HD (BEC),BEC (ช่อง 3)
3142578,141,0,141,art,,,กราฟิกดีไซน์ (Graphic Design),,,,
1686632,789,0,789,tvshow,social,home,ละครโทรทัศน์,7 HD,3 HD (BEC),แม่สื่อปากร้าย ผู้ชายรสจัด (ละคร),เรตติ้งละคร
4021474,396,0,396,korea,tvshow,chalermkrung,YG Entertainment,K-POP,BLACKPINK,นักร้องนักดนตรีเกาหลี,พรีเซ็นเตอร์โฆษณา
2479577,708,0,708,rajdumnern,bangrak,silom,การ์ตูนการเมือง,การเมือง,การเมืองท้องถิ่น,รัฐบาล,รัฐศาสตร์
4627869,6,1044,1050,rajdumnern,library,blueplanet,การเมือง,การ์ตูนการเมือง,กวีการเมือง,รัฐบาล,การเมืองท้องถิ่น
652893,1,254,255,supachalasai,tvshow,chalermthai,กีฬา,แบดมินตัน,เชียร์สด,วอลเลย์บอล,นักวอลเลย์บอล
803442,0,659,659,supachalasai,korea,tvshow,วอลเลย์บอล,กีฬา,K-POP,แบดมินตัน,นักร้องนักดนตรีเกาหลี
177254,566,0,566,sinthorn,supachalasai,camera,หุ้น,การลงทุน,Value Investment,Fundamental Analysis,Technical Analysis
311074,0,451,451,rajdumnern,wahkor,,การเมือง,ประชามติ,เลือกตั้ง,การ์ตูนการเมือง,รัฐบาล
685376,140,5,145,,,,,,,,
876545,120,0,120,,,,,,,,
97088,1216,54,1270,wahkor,library,cartoon,หน้าต่างโลก,การ์ตูนญี่ปุ่น,การ์ตูน,ประวัติศาสตร์,อาวุธยุทโธปกรณ์
241567,568,0,568,siliconvalley,sinthorn,silom,หุ้น,การลงทุน,คอมพิวเตอร์,อินเทอร์เน็ต,ฮาร์ดแวร์
3808159,562,0,562,tvshow,chalermthai,social,7 HD,ละครโทรทัศน์,3 HD (BEC),เรตติ้งละคร,one HD (GMM)
2635177,92,0,92,supachalasai,chalermthai,library,วอลเลย์บอล,กีฬา,นักวอลเลย์บอล,ภาพยนตร์,วอลเลย์บอลไทย
231205,190,3,193,tvshow,region,wahkor,ถ้ำหลวง ขุนน้ำนางนอน,รายการข่าว,จังหวัดเชียงราย,ข่าวออนไลน์,วิทยาศาสตร์
3763386,193,0,193,horoscope,religious,supachalasai,ดูดวง,หมอดู,ศาสนาพุทธ,อาหารบุฟเฟ่ต์,อาหารญี่ปุ่น
3663351,0,599,599,siam,isolate,bangrak,ความรักวัยรุ่น,ปัญหาความรัก,การศึกษา,ปัญหาวัยรุ่น,การเรียน
4379835,534,0,534,rajdumnern,social,wahkor,การ์ตูนการเมือง,การเมือง,รัฐบาล,ปัญหาสังคม,การเมืองท้องถิ่น
4661612,0,392,392,rajdumnern,social,region,การเมือง,รัฐบาล,นักการเมือง,พรรคการเมือง,การ์ตูนการเมือง
4671979,0,507,507,rajdumnern,social,sinthorn,การเมือง,รัฐบาล,การ์ตูนการเมือง,ประชามติ,เลือกตั้ง
4012218,80,0,80,religious,tvshow,wahkor,ปฏิบัติธรรม,วิปัสสนากรรมฐาน,มหาสติปัฏฐาน 4,พระไตรปิฎก,สมถกรรมฐาน
434867,174,655,829,sinthorn,home,siliconvalley,TFEX (Thailand Future Exchange),Technical Analysis,หุ้น,การลงทุน,เครื่องใช้ไฟฟ้า
711730,383,217,600,siam,bangrak,chalermkrung,หาเพื่อน,ความรักวัยรุ่น,ปัญหาความรัก,ความรักวัยทำงาน,เพลงสากล
3788130,211,32,243,supachalasai,tvshow,wahkor,วอลเลย์บอล,รายการข่าว,ถ้ำหลวง ขุนน้ำนางนอน,ข่าวออนไลน์,วิทยาศาสตร์
4107496,112,3,115,tvshow,library,food,บุพเพสันนิวาส,ละครโทรทัศน์,ธนวรรธน์ วรรธนะภูติ (โป๊ป),ราณี แคมเปน (เบลล่า),BEC (ช่อง 3)
3949931,340,0,340,religious,bangrak,social,ศาสนาพุทธ,ปฏิบัติธรรม,พระไตรปิฎก,มหาสติปัฏฐาน 4,วิปัสสนากรรมฐาน
3211913,315,0,315,supachalasai,religious,,กอล์ฟ,เชียร์สด,ศาสนาพุทธ,ปฏิบัติธรรม,ศาสนา
157385,518,0,518,writer,supachalasai,library,แต่งกลอน,แต่งเรื่องสั้น,แต่งนิยาย,ฟุตบอล,นักเขียนหนังสือ
2808649,391,0,391,wahkor,supachalasai,library,ฟุตบอล,ฟุตบอลต่างประเทศ,วิทยาศาสตร์,อาวุธยุทโธปกรณ์,ฟุตบอลโลก 2018
4549145,415,13,428,rajdumnern,writer,library,การ์ตูนการเมือง,แต่งกลอน,แต่งเรื่องสั้น,การเมือง,การเมืองท้องถิ่น
179922,473,7,480,isolate,chalermkrung,supachalasai,BNK48,ฟุตบอลต่างประเทศ,นักร้องนักดนตรีหญิง,สโมสรฟุตบอลอังกฤษ,Premier League (League)
1057229,0,153,153,,,,,,,,
4668416,463,9,472,rajdumnern,cartoon,library,การเมือง,การ์ตูนการเมือง,การเมืองท้องถิ่น,นักการเมือง,รัฐบาล
300374,190,0,190,sinthorn,ratchada,blueplanet,TFEX (Thailand Future Exchange),Technical Analysis,หุ้น,การลงทุน,รถยนต์
3547790,156,0,156,bangrak,siam,social,ปัญหาความรัก,ความรักวัยรุ่น,ประสบการณ์ชีวิตคู่,ความรักวัยทำงาน,แอบรัก
548241,0,516,516,family,tvshow,siam,7 HD,ตั้งครรภ์,ครอบครัว,ละครโทรทัศน์,ปัญหาชีวิต
4669887,224,0,224,rajdumnern,silom,social,การเมือง,รัฐบาล,กระทรวงพาณิชย์,การ์ตูนการเมือง,เขมนิจ จามิกรณ์ (แพนเค้ก)
586974,18,368,386,sinthorn,bangrak,silom,หุ้น,การลงทุน,ความรักวัยทำงาน,ประสบการณ์ความรัก,สังคมชาวพันทิป
606176,146,0,146,tvshow,pantip,cartoon,ละครโทรทัศน์,one HD (GMM),ข้อเสนอแนะถึงพันทิป,ยุทธนา เปื้องกลาง (ตูมตาม The Star 7),LINE Creators Market
4296827,0,655,655,supachalasai,tvshow,social,ฟุตบอล,ฟุตบอลต่างประเทศ,สโมสรฟุตบอลอังกฤษ,ฟุตบอลโลก 2018,Premier League (League)
2119676,0,544,544,ratchada,mbk,social,truemove H,รถยนต์,โทรศัพท์มือถือ,สมาร์ทโฟน,AIS
2874271,346,0,346,siam,bangrak,social,ความรักวัยรุ่น,ปัญหาความรัก,ชีวิตวัยรุ่น,ความรักวัยทำงาน,ปัญหาชีวิต
3939140,620,0,620,rajdumnern,tvshow,wahkor,การเมือง,การ์ตูนการเมือง,การเมืองท้องถิ่น,ถ้ำหลวง ขุนน้ำนางนอน,รัฐบาล
675415,92,0,92,camera,home,social,กล้อง Mirrorless,อุปกรณ์กล้อง,เทคนิคการถ่ายรูป,Sony a6300,Olympus PEN-F
1219966,283,7,290,supachalasai,food,social,ฟุตบอลต่างประเทศ,Premier League (League),สโมสรฟุตบอลอังกฤษ,Liverpool F．C．,คุ้มครองผู้บริโภค
3271723,576,0,576,sinthorn,beauty,chalermthai,หุ้น,TFEX (Thailand Future Exchange),Value Investment,Fundamental Analysis,ตลาดหลักทรัพย์
1082362,0,259,259,silom,sinthorn,social,มนุษย์เงินเดือน,ปัญหาชีวิต,การเงิน,เจ้าของธุรกิจ,บ้าน
511250,367,0,367,tvshow,social,supachalasai,ละครโทรทัศน์,เรตติ้งละคร,7 HD,3 HD (BEC),one HD (GMM)
265954,111,949,1060,writer,library,theoldsiam,แต่งกลอน,แต่งเรื่องสั้น,นักเขียนหนังสือ,แต่งนิยาย,เรื่องเล่าจากผู้สูงอายุ
4609054,417,1,418,supachalasai,tvshow,library,ฟุตบอลต่างประเทศ,สโมสรฟุตบอลอังกฤษ,ฟุตบอล,ฟุตบอลโลก 2018,Premier League (League)
523485,2,300,302,siliconvalley,mbk,home,คอมพิวเตอร์,คอมมือใหม่,ซอฟต์แวร์,อิเล็กทรอนิกส์,Microsoft Windows
4481104,232,1,233,rajdumnern,blueplanet,social,การเมือง,การ์ตูนการเมือง,ฝ่ายค้าน,รัฐบาล,นักการเมือง
912751,180,10,190,bangrak,siam,social,ปัญหาความรัก,ความรักวัยรุ่น,ความรักวัยทำงาน,ประสบการณ์ชีวิตคู่,ศาลาคนโสด
220723,172,0,172,tvshow,region,blueplanet,รายการข่าว,ถ้ำหลวง ขุนน้ำนางนอน,รายการโทรทัศน์,BEC (ช่อง 3),3 HD (BEC)
4655813,190,27,217,siam,bangrak,silom,สังคมชาวพันทิป,พนักงานบริษัท,ปัญหาความรัก,ความรักวัยรุ่น,มนุษย์เงินเดือน
4359806,174,407,581,bangrak,siam,silom,ปัญหาความรัก,ความรักวัยทำงาน,ความรักวัยรุ่น,ศาลาคนโสด,ศาลาคนเศร้า
118477,504,20,524,sinthorn,region,social,TFEX (Thailand Future Exchange),Technical Analysis,การลงทุน,หุ้น,ตลาดหลักทรัพย์
822399,503,0,503,tvshow,wahkor,region,รายการข่าว,ถ้ำหลวง ขุนน้ำนางนอน,วิทยาศาสตร์,จังหวัดเชียงราย,ข่าวออนไลน์
4054760,498,161,659,rajdumnern,blueplanet,supachalasai,การเมือง,การ์ตูนการเมือง,ประชามติ,เลือกตั้ง,รัฐบาล
585781,0,330,330,jatujak,siam,bangrak,ต้นไม้,ดอกไม้,สลากกินแบ่งรัฐบาล,กระบองเพชร,ความรักวัยรุ่น
36950,314,0,314,supachalasai,siliconvalley,mbk,ฟุตบอลต่างประเทศ,ฟุตบอล,ฟุตบอลโลก 2018,คอมพิวเตอร์,Premier League (League)
4651231,0,220,220,isolate,tvshow,korea,สังคมชาวพันทิป,7 HD,3 HD (BEC),ละครโทรทัศน์,เรตติ้งละคร
176167,262,10,272,supachalasai,region,blueplanet,แบดมินตัน,กีฬา,เชียร์สด,จังหวัดเชียงใหม่,ประเทศจีน
4597917,391,0,391,rajdumnern,social,sinthorn,การเมือง,การ์ตูนการเมือง,รัฐบาล,นักการเมือง,รัฐศาสตร์
690736,213,2,215,isolate,tvshow,pantip,สังคมชาวพันทิป,นักแสดง,ตะวัน วิหครัตน์ (เต),นักแสดงชาย,ละครโทรทัศน์
4532328,90,371,461,supachalasai,wahkor,klaibann,ฟุตบอลไทย,ฟุตบอล,ไทยพรีเมียร์ลีก,ฟุตบอลต่างประเทศ,สโมสรฟุตบอลไทย
4367224,233,659,892,tvshow,pantip,chalermthai,ละครโทรทัศน์,3 HD (BEC),นักแสดง,one HD (GMM),7 HD
785849,0,742,742,klaibann,library,blueplanet,เรียนต่อต่างประเทศ,นักเรียนแลกเปลี่ยน,การศึกษา,เที่ยวญี่ปุ่น,ชีวิตในต่างแดน
4437763,262,9,271,isolate,chalermkrung,blueplanet,BNK48,นักร้องนักดนตรีหญิง,นันท์นภัส เลิศนามเชิดสกุล (มิวนิค BNK48),นักร้องนักดนตรี,นักร้องนักดนตรีไทย
1808959,214,6,220,sinthorn,blueplanet,wahkor,TFEX (Thailand Future Exchange),Technical Analysis,การลงทุน,บันทึกนักเดินทาง,อาวุธยุทโธปกรณ์
194065,402,13,415,supachalasai,sinthorn,home,ฟุตบอล,ฟุตบอลต่างประเทศ,สโมสรฟุตบอลสเปน,FC Barcelona,ฟุตบอลโลก 2018
227408,133,2,135,,,,,,,,
196472,626,0,626,home,ratchada,blueplanet,บ้าน,ดูแลและซ่อมแซมบ้าน,เครื่องใช้ไฟฟ้า,ออกแบบและสร้างบ้าน,ปัญหาชีวิต
4671935,0,151,151,religious,blueplanet,library,ศาสนาอิสลาม,โรงแรมรีสอร์ท,หน้าต่างโลก,ประเทศไทย,ศาสนา
565719,236,3,239,sinthorn,social,silom,TFEX (Thailand Future Exchange),Technical Analysis,หุ้น,การลงทุน,การเงิน
1427819,341,2,343,supachalasai,silom,social,มนุษย์เงินเดือน,ฟุตบอล,ฟุตบอลโลก 2018,ฟุตบอลต่างประเทศ,ฟุตบอลโลก
3830725,0,89,89,horoscope,family,library,ดูดวง,ชื่อมงคล,ตั้งชื่อลูก,ภาษาไทย,คำประพันธ์
929223,203,173,376,supachalasai,tvshow,blueplanet,กีฬา,แบดมินตัน,เชียร์สด,วอลเลย์บอล,7 HD
4505358,1542,127,1669,chalermkrung,isolate,bangrak,เพลง,เพลงสากล,ดนตรี,เพลงการ์ตูน,ดนตรีป็อป
4617741,0,244,244,bangrak,siam,social,ปัญหาความรัก,ความรักวัยรุ่น,ประสบการณ์ชีวิตคู่,ความรักวัยทำงาน,ประสบการณ์ความรัก
3407594,0,461,461,supachalasai,social,siam,ฟุตบอล,ปัญหาชีวิต,ฟุตบอลต่างประเทศ,ฟุตบอลโลก 2018,ฟุตบอลโลก
199897,718,0,718,sinthorn,social,home,หุ้น,TFEX (Thailand Future Exchange),Technical Analysis,การลงทุน,Fundamental Analysis
890894,4,701,705,korea,isolate,chalermkrung,K-POP,Produce 48 (รายการโทรทัศน์),BNK48,นักร้องนักดนตรีเกาหลี,AKB48
2403959,279,0,279,tvshow,beauty,food,ธนวรรธน์ วรรธนะภูติ (โป๊ป),นักแสดงชาย,BEC (ช่อง 3),บุพเพสันนิวาส,3 HD (BEC)
688004,65,0,65,siliconvalley,mbk,,Android,Android App,สมาร์ทโฟน,Samsung Smartphone,Facebook
1636792,481,0,481,tvshow,region,wahkor,รายการข่าว,ละครโทรทัศน์,ถ้ำหลวง ขุนน้ำนางนอน,จังหวัดเชียงราย,นักแสดงหญิง
3575330,153,0,153,rajdumnern,social,,การ์ตูนการเมือง,การเมือง,นักการเมือง,รัฐบาล,กระทรวงพาณิชย์
4250130,206,40,246,sinthorn,social,silom,การเงิน,ปัญหาสังคม,หนี้สิน (Liability),สินเชื่อส่วนบุคคล,หุ้น
4653731,302,0,302,bangrak,siam,social,ศาลาคนโสด,ความรักวัยรุ่น,ปัญหาความรัก,หาเพื่อน,ชีวิตวัยรุ่น
495653,54,0,54,gallery,blueplanet,region,ภาพถ่ายทิวทัศน์,บันทึกนักเดินทาง,ภาคอีสาน,ทิเบต,เที่ยวต่างประเทศ
581277,0,290,290,jatujak,home,tvshow,ดอกไม้,ต้นไม้,สลากกินแบ่งรัฐบาล,กระบองเพชร,จัดสวน
605652,411,0,411,tvshow,social,blueplanet,ปัญหาชีวิต,รายการข่าว,ถ้ำหลวง ขุนน้ำนางนอน,ข่าวออนไลน์,การบริหารจัดการ
1379695,271,0,271,wahkor,horoscope,social,ความเชื่อส่วนบุคคล,สิ่งลี้ลับ (mystery),ปัญหาชีวิต,วิทยาศาสตร์,อาวุธยุทโธปกรณ์
4469698,440,107,547,isolate,chalermkrung,region,BNK48,AKB48,นักร้องนักดนตรีหญิง,นักร้องนักดนตรี,T-Pop
4561664,435,0,435,wahkor,library,rajdumnern,วิทยาศาสตร์,อาวุธยุทโธปกรณ์,ฟิสิกส์,ถ้ำหลวง ขุนน้ำนางนอน,วิศวกรรมศาสตร์
4610390,185,0,185,religious,horoscope,wahkor,ปฏิบัติธรรม,ศาสนาพุทธ,มหาสติปัฏฐาน 4,พระไตรปิฎก,วิปัสสนากรรมฐาน
1101259,481,0,481,sinthorn,supachalasai,silom,หุ้น,การลงทุน,ฟุตบอลต่างประเทศ,ฟุตบอล,สโมสรฟุตบอลอังกฤษ
3181438,0,270,270,sinthorn,silom,lumpini,หุ้น,TFEX (Thailand Future Exchange),การลงทุน,Technical Analysis,SME
154811,234,0,234,tvshow,region,wahkor,รายการข่าว,ถ้ำหลวง ขุนน้ำนางนอน,ข่าวออนไลน์,จังหวัดเชียงราย,วิทยาศาสตร์
51273,886,0,886,sinthorn,silom,food,หุ้น,TFEX (Thailand Future Exchange),การลงทุน,Technical Analysis,ตลาดหลักทรัพย์
3933498,233,75,308,supachalasai,tvshow,sinthorn,กีฬา,แบดมินตัน,เชียร์สด,วอลเลย์บอล,กอล์ฟ
3954471,60,381,441,siam,isolate,bangrak,ปัญหาวัยรุ่น,ความรักวัยรุ่น,ปัญหาความรัก,ชีวิตวัยรุ่น,ปัญหาชีวิต
1313900,12,260,272,jatujak,gallery,region,ดอกไม้,ต้นไม้,กระบองเพชร,สลากกินแบ่งรัฐบาล,ภาพถ่าย
710499,261,0,261,rajdumnern,library,sinthorn,การเมือง,การ์ตูนการเมือง,ประชามติ,เลือกตั้ง,การเมืองท้องถิ่น
603942,76,397,473,siam,social,bangrak,ปัญหาชีวิต,ปัญหาความรัก,ความรักวัยรุ่น,ชีวิตวัยรุ่น,ปัญหาวัยรุ่น
709736,237,101,338,tvshow,siam,beauty,7 HD,ละครโทรทัศน์,รายการข่าว,ถ้ำหลวง ขุนน้ำนางนอน,3 HD (BEC)
504363,18,74,92,,,,,,,,
4375086,258,0,258,chalermkrung,isolate,religious,เพลง,การเล่นดนตรี,ดนตรี,ปัญหาชีวิต,เครื่องดนตรี
433385,322,18,340,sinthorn,library,social,ธนาคาร,การเงิน,การออมเงิน,ภาษาอังกฤษ,เพศที่สาม
580159,224,20,244,sinthorn,social,ratchada,TFEX (Thailand Future Exchange),หุ้น,Technical Analysis,การลงทุน,การเงิน
4308661,0,252,252,supachalasai,bangrak,siam,ฟุตบอล,ฟุตบอลต่างประเทศ,ปัญหาความรัก,ความรักวัยรุ่น,สโมสรฟุตบอลอังกฤษ
727122,859,1,860,social,klaibann,ratchada,ปัญหาชีวิต,รถยนต์,ชีวิตในต่างแดน,เรียนต่อต่างประเทศ,วิทยาศาสตร์
147116,238,0,238,tvshow,region,wahkor,3 HD (BEC),รายการข่าว,BEC (ช่อง 3),ถ้ำหลวง ขุนน้ำนางนอน,ละครโทรทัศน์
4368195,343,88,431,rajdumnern,library,silom,การ์ตูนการเมือง,การเมือง,การเมืองท้องถิ่น,รัฐศาสตร์,ทักษิณ ชินวัตร
3833826,75,132,207,religious,horoscope,siam,ศาสนาพุทธ,ปฏิบัติธรรม,มหาสติปัฏฐาน 4,พระไตรปิฎก,ศาสนา
143120,182,0,182,religious,rajdumnern,social,ศาสนาพุทธ,ปฏิบัติธรรม,พระไตรปิฎก,การเมือง,มหาสติปัฏฐาน 4
356991,0,184,184,tvshow,beauty,blueplanet,ธนวรรธน์ วรรธนะภูติ (โป๊ป),ละครโทรทัศน์,บุพเพสันนิวาส,BEC (ช่อง 3),3 HD (BEC)
188794,176,170,346,tvshow,supachalasai,social,วอลเลย์บอล,3 HD (BEC),ละครโทรทัศน์,7 HD,BEC (ช่อง 3)
4019363,161,15,176,food,blueplanet,mbk,อาหาร,AIS,ร้านอาหาร,ทำอาหาร,เที่ยวต่างประเทศ
858081,298,2,300,home,wahkor,siliconvalley,ฟุตบอลต่างประเทศ,เครื่องใช้ไฟฟ้า,วิทยาศาสตร์,ฟุตบอล,อิเล็กทรอนิกส์
401318,263,4,267,lumpini,wahkor,family,โรงพยาบาล,แพทย์,วิทยาศาสตร์,สุขภาพกาย,คลับสุขภาพ
544382,161,154,315,supachalasai,lumpini,beauty,กอล์ฟ,ฟุตบอล,ฟุตบอลโลก 2018,ฟุตบอลต่างประเทศ,ฟุตบอลโลก
3339513,101,37,138,rajdumnern,,,การเมือง,การ์ตูนการเมือง,นักการเมือง,ทักษิณ ชินวัตร,เลือกตั้ง
703744,884,117,1001,isolate,tvshow,wahkor,สังคมชาวพันทิป,ละครโทรทัศน์,7 HD,3 HD (BEC),one HD (GMM)
1595,778,0,778,bangrak,ratchada,siam,ศาลาคนโสด,ความรักวัยทำงาน,ปัญหาความรัก,มอเตอร์ไซค์,ความรักวัยรุ่น
272283,64,0,64,ratchada,blueplanet,camera,มอเตอร์ไซค์,บันทึกนักเดินทาง,กล้อง Nikon,ประเทศนิวซีแลนด์,เที่ยวไทย
4287722,537,1,538,bangrak,siam,tvshow,ปัญหาความรัก,ความรักวัยรุ่น,ปัญหาชีวิต,ประสบการณ์ชีวิตคู่,ความรักวัยทำงาน
278777,436,61,497,tvshow,chalermkrung,silom,ละครโทรทัศน์,one HD (GMM),BEC (ช่อง 3),นักแสดง,ธนวรรธน์ วรรธนะภูติ (โป๊ป)
1511167,569,0,569,klaibann,ratchada,blueplanet,รถยนต์,ชีวิตในต่างแดน,เรียนต่อต่างประเทศ,ทำงานต่างประเทศ,วีซ่า
4053831,283,130,413,tvshow,korea,chalermkrung,ละครโทรทัศน์,นักแสดง,3 HD (BEC),BEC (ช่อง 3),รายการข่าว
478854,56,0,56,siam,bangrak,,ความรักวัยรุ่น,,,,
582604,225,134,359,tvshow,social,wahkor,รายการข่าว,ถ้ำหลวง ขุนน้ำนางนอน,วิทยาศาสตร์,จังหวัดเชียงราย,ข่าวออนไลน์
414981,511,2,513,jatujak,home,wahkor,ต้นไม้,ดอกไม้,สลากกินแบ่งรัฐบาล,กระบองเพชร,จัดสวน
425846,620,0,620,sinthorn,isolate,social,ธนาคารกสิกรไทย,ธนาคาร,บัตรเครดิต,การเงิน,ธนาคารกรุงไทย
4665693,0,303,303,rajdumnern,supachalasai,region,การเมือง,การ์ตูนการเมือง,นักการเมือง,ทักษิณ ชินวัตร,รัฐบาล
402290,0,596,596,bangrak,siam,beauty,ปัญหาความรัก,ประสบการณ์ชีวิตคู่,ความรักวัยทำงาน,ความรักวัยรุ่น,ประสบการณ์ความรัก
198587,962,103,1065,tvshow,library,blueplanet,ถ้ำหลวง ขุนน้ำนางนอน,ปัญหาชีวิต,เที่ยวญี่ปุ่น,ละครโทรทัศน์,รายการข่าว
277209,358,0,358,sinthorn,supachalasai,horoscope,หุ้น,TFEX (Thailand Future Exchange),การลงทุน,ตลาดหลักทรัพย์,Technical Analysis
2854971,342,0,342,ratchada,jatujak,social,รถยนต์,มอเตอร์ไซค์,ซ่อมบำรุงรถยนต์,อู่ซ่อมรถ,ดูแลรักษารถยนต์
1159344,27,131,158,tvshow,blueplanet,region,3 HD (BEC),ละครโทรทัศน์,ธนวรรธน์ วรรธนะภูติ (โป๊ป),BEC (ช่อง 3),ข้ามสีทันดร (ละคร)
947878,245,0,245,mbk,isolate,tvshow,กรกฎ ตุ่นแก้ว (อ้น The Star 9),โทรศัพท์มือถือ,สมาร์ทโฟน,7 HD,Android
2099550,0,513,513,tvshow,wahkor,region,ถ้ำหลวง ขุนน้ำนางนอน,รายการข่าว,วิทยาศาสตร์,ข่าวออนไลน์,จังหวัดเชียงราย
4668581,459,0,459,bangrak,siam,isolate,ปัญหาความรัก,ปัญหาชีวิต,แอบรัก,ความรักวัยรุ่น,ปัญหาวัยรุ่น
623267,0,622,622,ratchada,social,supachalasai,รถยนต์,ดูแลรักษารถยนต์,อุบัติเหตุบนท้องถนน,ร้องทุกข์,ซ่อมบำรุงรถยนต์
